Image id,Caption,Label,Source,Domain,
1,"তেঁতুলিয়া থেকে টেকনাফ!
সমগ্র বাংলাদেশের পথে পথে! 
আমরা আসছি আপনাদের থেকে শুনতে, শিখতে, অনুপ্রাণিত হতে।",1,,,
2,"বড় বড় আইডিয়া কি শুধু বড় বড় শহর থেকেই আসে? দেশজুড়ে সেরা ‘আইডিয়াপ্রেনার’-দের খোঁজে আমরা এবার গিয়েছিলাম দিনাজপুরে!

জেলায় জেলায় স্মার্ট উদ্যোক্তা তৈরির লক্ষ্যে, দেশের ২০টি অঞ্চলে আইডিয়া ডিজাইন বুটক্যাম্পে পিচ সেশনের মাধ্যমে রুট লেভেল থেকে বাছাই করা হচ্ছে সেরা ২০টি দল। এখনও প্রতিটি অঞ্চল থেকে একটি করে মোট ১৮টি দলের সুযোগ আছে ইউনিক আইডিয়া দিয়ে বিজয়ী হওয়ার। আসছি আপনার জেলাতেও, আইডিয়া ও দল নিয়ে রেডি তো?

দিনাজপুরের আইডিয়া ডিজাইন বুটক্যাম্পের ছবিগুলো তুলেছেন ফটোগ্রাফার ইমরান হোসেন রুমি।",1,,,
3,"বড় বড় আইডিয়া কি শুধু বড় বড় শহর থেকেই আসে? দেশজুড়ে সেরা ‘আইডিয়াপ্রেনার’-দের খোঁজে আমরা এবার গিয়েছিলাম দিনাজপুরে!

জেলায় জেলায় স্মার্ট উদ্যোক্তা তৈরির লক্ষ্যে, দেশের ২০টি অঞ্চলে আইডিয়া ডিজাইন বুটক্যাম্পে পিচ সেশনের মাধ্যমে রুট লেভেল থেকে বাছাই করা হচ্ছে সেরা ২০টি দল। এখনও প্রতিটি অঞ্চল থেকে একটি করে মোট ১৮টি দলের সুযোগ আছে ইউনিক আইডিয়া দিয়ে বিজয়ী হওয়ার। আসছি আপনার জেলাতেও, আইডিয়া ও দল নিয়ে রেডি তো?

দিনাজপুরের আইডিয়া ডিজাইন বুটক্যাম্পের ছবিগুলো তুলেছেন ফটোগ্রাফার Imran Hossain Rumi।",0,,,
4,"বড় বড় আইডিয়া কি শুধু বড় বড় শহর থেকেই আসে? দেশজুড়ে সেরা ‘আইডিয়াপ্রেনার’-দের খোঁজে আমরা এবার গিয়েছিলাম দিনাজপুরে!

জেলায় জেলায় স্মার্ট উদ্যোক্তা তৈরির লক্ষ্যে, দেশের ২০টি অঞ্চলে আইডিয়া ডিজাইন বুটক্যাম্পে পিচ সেশনের মাধ্যমে রুট লেভেল থেকে বাছাই করা হচ্ছে সেরা ২০টি দল। এখনও প্রতিটি অঞ্চল থেকে একটি করে মোট ১৮টি দলের সুযোগ আছে ইউনিক আইডিয়া দিয়ে বিজয়ী হওয়ার। আসছি আপনার জেলাতেও, আইডিয়া ও দল নিয়ে রেডি তো?

দিনাজপুরের আইডিয়া ডিজাইন বুটক্যাম্পের ছবিগুলো তুলেছেন ফটোগ্রাফার ইমরান হোসেন রুমি।",0,,,
5,"বড় বড় আইডিয়া কি শুধু বড় বড় শহর থেকেই আসে? দেশজুড়ে সেরা ‘আইডিয়াপ্রেনার’-দের খোঁজে আমরা এবার গিয়েছিলাম দিনাজপুরে!

জেলায় জেলায় স্মার্ট উদ্যোক্তা তৈরির লক্ষ্যে, দেশের ২০টি অঞ্চলে আইডিয়া ডিজাইন বুটক্যাম্পে পিচ সেশনের মাধ্যমে রুট লেভেল থেকে বাছাই করা হচ্ছে সেরা ২০টি দল। এখনও প্রতিটি অঞ্চল থেকে একটি করে মোট ১৮টি দলের সুযোগ আছে ইউনিক আইডিয়া দিয়ে বিজয়ী হওয়ার। আসছি আপনার জেলাতেও, আইডিয়া ও দল নিয়ে রেডি তো?

দিনাজপুরের আইডিয়া ডিজাইন বুটক্যাম্পের ছবিগুলো তুলেছেন ফটোগ্রাফার ইমরান হোসেন রুমি।",0,,,
6,"এই রান্নার ঘ্রাণ সারা দুনিয়ায় ছড়াচ্ছে! 
ভাবতে পারেন এমন রান্নার ভিডিও আপলোড করেই ইউটিউবে লাখ লাখ লাইক, কমেন্ট শেয়ার পাচ্ছে! আর তার জন্যই এই গ্রামের নামও দুনিয়ার মানুষ দিয়েছে “ইউটিউব ভিলেজ”। এই গ্রামের সব কন্টেন্ট ক্রিয়েটারদের আপলোড, ডাউনলোড, কন্টেন্ট তৈরি যেন আরও ফাস্ট ও স্মুথ হয় তার জন্য নিরলস কাজ করে যাচ্ছেন দেশের ১ নম্বর নেটওয়ার্কের নিবেদিত কর্মীরা।  
ইউটিউব ভিলেজে এমনই এক রান্নার আয়োজন ক্যামেরায় ফ্রেম করেন আব রশিদ।",0,,,
7,"এই রান্নার ঘ্রাণ সারা দুনিয়ায় ছড়াচ্ছে! 
ভাবতে পারেন এমন রান্নার ভিডিও আপলোড করেই ইউটিউবে লাখ লাখ লাইক, কমেন্ট শেয়ার পাচ্ছে! আর তার জন্যই এই গ্রামের নামও দুনিয়ার মানুষ দিয়েছে “ইউটিউব ভিলেজ”। এই গ্রামের সব কন্টেন্ট ক্রিয়েটারদের আপলোড, ডাউনলোড, কন্টেন্ট তৈরি যেন আরও ফাস্ট ও স্মুথ হয় তার জন্য নিরলস কাজ করে যাচ্ছেন দেশের ১ নম্বর নেটওয়ার্কের নিবেদিত কর্মীরা।  
ইউটিউব ভিলেজে এমনই এক রান্নার আয়োজন ক্যামেরায় ফ্রেম করেন আব রশিদ।",0,,,
8,"এই রান্নার ঘ্রাণ সারা দুনিয়ায় ছড়াচ্ছে! 
ভাবতে পারেন এমন রান্নার ভিডিও আপলোড করেই ইউটিউবে লাখ লাখ লাইক, কমেন্ট শেয়ার পাচ্ছে! আর তার জন্যই এই গ্রামের নামও দুনিয়ার মানুষ দিয়েছে “ইউটিউব ভিলেজ”। এই গ্রামের সব কন্টেন্ট ক্রিয়েটারদের আপলোড, ডাউনলোড, কন্টেন্ট তৈরি যেন আরও ফাস্ট ও স্মুথ হয় তার জন্য নিরলস কাজ করে যাচ্ছেন দেশের ১ নম্বর নেটওয়ার্কের নিবেদিত কর্মীরা।  
ইউটিউব ভিলেজে এমনই এক রান্নার আয়োজন ক্যামেরায় ফ্রেম করেন আব রশিদ।",0,,,
9,"এই রান্নার ঘ্রাণ সারা দুনিয়ায় ছড়াচ্ছে! 
ভাবতে পারেন এমন রান্নার ভিডিও আপলোড করেই ইউটিউবে লাখ লাখ লাইক, কমেন্ট শেয়ার পাচ্ছে! আর তার জন্যই এই গ্রামের নামও দুনিয়ার মানুষ দিয়েছে “ইউটিউব ভিলেজ”। এই গ্রামের সব কন্টেন্ট ক্রিয়েটারদের আপলোড, ডাউনলোড, কন্টেন্ট তৈরি যেন আরও ফাস্ট ও স্মুথ হয় তার জন্য নিরলস কাজ করে যাচ্ছেন দেশের ১ নম্বর নেটওয়ার্কের নিবেদিত কর্মীরা।  
ইউটিউব ভিলেজে এমনই এক রান্নার আয়োজন ক্যামেরায় ফ্রেম করেন আব রশিদ।",1,,,
10,পথে পথে গ্রামীণফোন সিইও ইয়াসির আজমান-এর সাথে যখন দেখা হয়ে যায় বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,,,
